Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Ульяновская область;237 295,40;276 108,10;377 746,30;446 658,80;516 576,10;602 068,80;556 057,10;603 860,80;647 318,50;686 173,30;924 201,10;794 271,20;751 614;735 762,70;722 532,40;681 138,90;685 690;406 801,20;682 391,90;749 165,80
    Уральский федеральный округ;2 842 023,30;3 487 851,50;4 235 070,40;5 018 495,80;5 785 193,70;6 751 626,60;6 530 073,10;6 312 567,40;7 061 793,10;7 866 775,90;8 394 844,20;8 339 734,70;8 537 270,10;8 661 879,20;9 104 087,10;9 325 460,30;9 767 477;6 927 176,70;8 955 212,80;10 862 569,90
        Курганская область;22 140,40;63 888,50;122 464,40;165 383;216 835,10;273 037,70;238 901,90;299 971,10;406 092,90;477 320;513 485,90;578 435;641 484,80;678 969,60;554 383,20;598 893,80;606 910,50;341 356,80;527 712,60;671 200,90
        Свердловская область;685 340,90;907 060,70;1 224 674,70;1 503 715,60;1 761 331,20;2 281 927,60;1 758 837,90;1 767 363;1 951 306,10;2 233 682,20;2 493 379,90;2 467 961,80;2 438 743,30;2 294 954,40;2 498 858,40;2 467 544,90;2 754 875,70;1 545 240,10;2 521 863;2 878 942,40
        Тюменская область;1 145 630,10;1 337 749,60;1 558 912,80;1 752 576;2 078 482,10;2 407 651,90;2 559 206,50;2 469 565,20;2 660 252,50;3 000 330,60;3 314 212,20;3 270 851,30;3 360 894,70;3 675 587,10;4 000 669,30;4 118 045;4 208 341,20;3 373 054,20;3 598 660,70;4 539 631,30
            Ханты-Мансийский автономный округ - Югра (Тюменская область);312 589,30;376 253,50;392 215,20;467 989;596 667,10;705 249,20;742 938;766 526;795 752,90;822 426,30;976 410,40;992 960,50;1 116 499,50;1 111 288,10;1 429 396,70;1 465 810,80;1 471 800;847 600,80;491 810,10;804 410
            Ямало-Ненецкий автономный округ (Тюменская область);88 593,90;93 553,40;104 804,80;101 918,10;130 528,30;119 941,30;148 540;132 609,60;53 588;72 601;86 965;63 303;14 219,70;19 687,20;;;;;;
            Тюменская область (без АО);;;;;;;;;;;;;;;2 571 272,60;;;;;
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;;;;;;;2 250 836,80;2 214 587,80;2 230 175,50;2 544 611,80;2 571 272,60;2 652 234,20;2 736 541,20;2 525 453,40;3 106 850,60;3 735 221,30
        Челябинская область;988 911,90;1 179 152,70;1 329 018,50;1 596 821,20;1 728 545,30;1 789 009,40;1 973 126,80;1 775 668,10;2 044 141,60;2 155 443,10;2 073 766,20;2 022 486,60;2 096 147,30;2 012 368,10;2 050 176,20;2 140 976,60;2 197 349,60;1 667 525,60;2 306 976,50;2 772 795,30
    Сибирский федеральный округ;4 049 985,10;4 795 429,70;6 540 950,80;7 594 699,30;8 515 361,30;10 076 183,10;10 162 152,10;9 638 008;10 812 361,50;12 055 532,10;12 025 514;12 857 430,40;13 865 343,60;14 552 369,10;14 441 083;;;;;
    Сибирский федеральный округ;;;;;;;;;;;;;;;;13 256 361,30;14 408 966;9 675 441;15 441 223,80;18 689 762,30
        Республика Алтай;154,2;277,9;640,5;304,1;136,7;235,2;169,5;205,4;355,8;730,6;730,6;925,2;660,6;447,7;173,4;142,5;127;12,6;223;110 285,30
        Республика Тыва;12 329;11 180;24 083;0;23 954,50;26 749;25 164;23 146;26 097,50;31 322;16 919,20;13 026,20;14 350,30;38 427,80;52 982,50;29 653;21 110,20;10 231;25 903,90;23 116,30
        Республика Хакасия;195 645,90;191 604,10;242 216,60;284 607,30;324 342,70;206 501,60;394 871,30;421 616,30;442 588,70;465 370,70;456 846,40;445 070,90;471 950,30;469 164;274 081,80;227 620;298 465,20;125 517,70;222 240,20;312 726,20
        Алтайский край;1 340 399,80;1 637 571;2 044 732,60;2 437 971,80;2 808 390,30;3 377 190,50;3 193 874,90;3 226 169;3 738 226,60;4 282 045,50;4 331 913,90;4 627 084,90;5 532 620,70;5 850 471,80;5 940 650,60;5 644 621,40;5 906 238,80;4 377 222;7 227 370,40;9 103 335,30
        Красноярский край;458 675,80;475 903,20;701 614;799 330,90;897 391,30;1 081 604;1 097 023,60;867 607,30;850 556,50;977 863,70;960 174,20;1 093 093,20;1 026 399,40;1 076 411,80;1 106 503,50;1 141 449,10;1 207 588,40;856 629,70;1 455 730,80;1 455 842,30
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);25 709;23 220;30 574;15 611;;;;;;;;;;;;;;;;
            Эвенкийский автономный округ (Красноярский край);0;0;;;;;;;;;;;;;;;;;;
        Иркутская область;474 638,40;554 969,70;762 869,60;879 005,10;916 408,50;1 139 211,40;1 119 343,50;1 049 102;1 104 444,80;1 166 905,50;1 142 688;1 180 800,20;1 250 357,70;1 240 111,40;1 192 837;1 197 001,50;1 364 961,90;839 889,90;1 218 699,10;1 361 018,10
            Усть-Ордынский Бурятский округ;2 256,80;2 938,90;3 408,10;3 714;3 221;;;;;;;;;;;;;;;
        Кемеровская область - Кузбасс;422 452,80;551 064,70;798 427,60;903 735,60;899 519,80;1 122 234,60;1 176 728;960 503;1 285 492,10;1 511 331,30;1 379 520,40;1 708 621,30;1 797 575,20;2 005 754;1 870 233,60;1 915 511,40;1 963 232,70;967 167;1 712 524,90;2 251 421
        Новосибирская область;424 915,90;545 675,80;755 704,80;904 319,30;1 071 849,90;1 239 159,70;1 204 904,10;1 129 921,30;1 204 098,70;1 323 735,70;1 320 200,30;1 364 385,30;1 273 187,10;1 488 642,10;1 829 782,60;1 959 931,10;2 117 580,40;1 498 825,80;2 599 267,80;3 009 370,90
        Омская область;337 370,60;363 178,60;512 595,70;608 587,10;685 623;787 152,50;787 915,60;848 193,30;893 597,40;1 017 358,80;1 161 109,30;1 203 691,30;1 270 452,50;1 286 667,20;1 125 674,70;804 548;837 059,60;662 123,40;592 879,80;619 314,40
        Томская область;140 943,70;183 846,20;267 539;292 113,90;353 483,10;483 010,70;491 533,20;490 641,20;603 710,60;542 872,50;547 428,50;552 557,70;544 915,20;444 536,30;411 692,10;335 883,30;692 601,80;337 821,90;386 383,90;443 332,50
